SH,SZ,DJI,FTSE,HIS,N225,SPX
-0.002692092,-0.001240897,0.0123764,-0.016606433,0.006218767,0.012217841,0.014912655
-0.012390737,-0.004599508,-0.012519438,-0.002012617,-0.035305207,0.012705619,-0.012992123
0.010733522,0.026151127,-0.002269483,0.001318524,0.011049795,0.000585715,0.00035387
0.03420609,0.039474343,-0.006923727,-0.025760918,0.0121634,-0.005838667,-0.005677006
-0.019182043,-0.024294333,0.028127571,0.019522084,0.017110485,-0.011244189,0.032347213
0.001205315,-0.000340427,-0.011998799,0.030704291,-7.69E-05,0.031866523,-0.012451871
0.011407412,0.017377691,-0.011171383,-0.001298201,-0.013664282,-0.001312112,-0.017314285
-5.69E-05,-0.004532641,0.022248614,-0.004855237,-0.001290696,-0.039176073,0.025514387
-0.024247012,-0.028164224,0.000559868,-0.002322917,0.01604324,0.00179865,0.004043236
-0.009248908,-0.010414509,-0.032033848,0.011553325,-0.000335665,-0.010413714,-0.035017487
0.00122186,0.008842054,-0.011695222,-0.01648069,-0.020528717,0.01090741,-0.013624434
-0.007325056,-0.006904526,0.012501384,-0.011170232,0.00562607,0.016895752,0.01091624
0.000367001,0.006812454,-0.004106012,-0.008103273,0.006840429,0.029858115,-0.005959341
-0.016530026,-0.0192801,0.027231953,0.011412017,0.00058384,-0.000438122,0.029079822
0.000882667,0.004603767,0.003781476,0.00912873,0.012134371,0.024020296,0.004370107
0.027434247,0.030170077,0.021613571,0.006056634,0.013297587,-0.012296417,0.022142196
-0.008273712,-0.012062482,0.001577223,0.017319251,0.007337576,-0.018885012,0.00131629
0.002868767,0.001672894,-0.000787822,-0.000580691,0.030365714,0.000467458,-0.003864245
-0.003780374,-0.00754529,-0.014360828,0.009150818,-0.004461871,-0.019410937,-0.016201322
-0.018537362,-0.019457909,0.000477856,-0.009886209,0.001801017,-0.004481409,-0.002989922
0.028627888,0.033842703,-0.014242898,-0.013133372,-0.005920619,-0.012797735,-0.016946193
0.000961563,0.003480201,-0.000885862,-0.015233664,-0.002061647,-0.01984204,0.002855218
-0.007298954,-0.00866735,-0.000521636,-0.010596648,0.001733115,-0.02057115,-0.002035951
-0.001217533,-0.000523232,-0.026811783,0.004983135,-0.023321254,0.00131664,-0.031508271
-0.005441104,-0.014351978,-0.009802403,-0.031539081,-0.005939416,0.006829299,-0.010164425
-0.00689416,-0.009223759,-0.004253962,0.000539106,-0.011174027,0.007660418,-0.003245746
-0.043625532,-0.051561139,-0.004742784,-0.022859032,-0.003176105,-0.00627255,-0.004673293
-0.011888424,-0.012909686,0.005881613,0.006706897,0.012118466,0.027223014,0.005344686
-0.010300663,-0.019690757,0.027798712,-0.00301399,-0.011369278,0.005185917,0.030850062
0.003829976,0.002601918,0.011976963,0.028907272,0.009696978,-0.003889532,0.009368673
-0.007985973,-0.00618071,0.005806177,0.009984231,0.016231176,-0.001140142,0.0071781
0.019055035,0.020717967,0.001786983,0.017911068,0.004346543,0.026693466,0.000732597
0.004841289,0.012989476,0.014262153,0.005369998,-0.001778511,-0.011263534,0.015261854
-0.002467607,-0.00207174,0.000356975,0.006617526,0.006330545,-0.029034363,-0.000155215
0.022830368,0.036415609,-0.000715043,0.019927772,-0.01495462,-0.011534794,0.001195446
0.007979257,0.014397748,-0.025558151,-0.003325564,-0.000269537,-0.0023284,-0.029242932
-0.01636627,-0.015936593,0.005582582,-0.008070902,-0.00789328,-0.006264984,0.005964074
0.00819152,0.000199944,0.007410606,-0.010113739,0.008605593,0.022527417,0.011351892
-0.0188518,-0.008707468,-0.010754636,-0.002051008,0.010926772,0.007679093,-0.012902686
-1.36E-05,0.009005168,0.019740569,-0.001714663,0.004989122,-0.000716823,0.022263616
0.020879622,0.029189045,0.009863713,0.014522039,0.010898827,0.026642449,0.008186429
0.021306718,0.023715995,0.009623918,0.018839038,0.001180169,-0.005887121,0.011137931
0.002631849,-0.001481159,0.00116412,-0.00022397,0.006384612,-0.016505065,-0.001049869
0.010597612,0.014199961,-0.003785022,0.007220763,0.005600409,0.003455171,-0.006946068
0.003748032,0.005349703,-0.002930595,0.002715367,0.000125191,0.012842571,-0.004167314
0.006454559,0.005983236,-0.000116562,-0.008608101,-0.003039142,-0.021339106,6.35E-05
-0.005156816,-0.002355497,0.019720303,-0.001077713,0.018047386,0.017194987,0.02178352
0.022383216,0.024212811,-0.003566277,-0.010580908,0.002093335,-0.001223049,-0.004807873
0.005472791,0.001268736,0.004132894,0.026109095,0.004288589,-0.007247642,0.006032852
-0.004015808,-0.004954077,-0.000510409,-0.000116736,8.54E-05,-0.002242264,-0.001269391
0.013187715,0.020138092,-0.002008577,-0.001914189,0.005879201,-0.027405809,-0.003710877
-0.017177079,-0.015941851,0.004232804,-0.003790948,0.005648032,-0.00867426,0.005468066
0.00437564,0.003657241,-0.005107072,-0.006242209,-0.015158639,0.004426509,-0.005985299
-0.006755705,-0.009455827,-0.025251686,0.014545664,-0.008373595,-0.006156074,-0.028583327
0.014258221,0.016107843,-0.00568924,-0.006324341,-0.008906997,-0.003811894,-0.00539328
0.005305283,0.006783161,-0.001629241,-0.024705586,-0.00161891,0.008570758,-0.004031704
-0.029334613,-0.027795622,-0.000110652,0.003967176,0.001922488,0.013131249,0.000120447
0.004698659,0.008477973,0.010029126,0.001779633,0.001198148,-0.01977191,0.012118458
-0.012356774,-0.011784853,0.000930774,0.0001251,-0.005441131,-0.006852865,0.001481685
0.01205107,0.019155217,-0.013954086,0.014012171,0.00236276,-0.013422368,-0.017080409
0.020882968,0.025235251,-0.005622712,-0.008951176,-0.004310655,-0.016788012,-0.003669695
0.003819188,0.010440535,-0.003846379,-0.017420758,-0.004433189,0.006882682,-0.004048532
-0.002095091,3.25E-05,-0.01325381,-0.003076905,-0.011086108,0.009451649,-0.014618777
0.008097492,0.003436108,0.001951195,0.007585759,-0.001149348,0.017442251,0.003283982
-0.017137211,-0.02058897,-0.007408044,-0.015184893,-0.001111353,-0.03619092,-0.00771448
-0.001113662,-0.001046853,0.016372658,-0.009069407,-0.000713958,0.011600551,0.016450715
0.004136746,0.012145795,-0.013980123,0.009048072,0.00676778,0.015099904,-0.014828685
-0.020480288,-0.022568321,0.000498391,0.008828528,-0.009726874,0.00564342,0.000390802
0.002654201,0.004141818,0.025119405,0.004538322,0.004243895,0.020330369,0.029077658
0.002785076,0.002290306,0.004918034,0.026662254,0.011813758,-0.00813074,0.009039912
0.015929946,0.024049261,0.012310423,0.000862402,0.004903407,-0.022071403,0.013132363
-0.005240908,0.003125692,-0.010317275,0.010576818,0.018157564,0.008143293,-0.011537451
-0.006049797,-0.001763217,0.004469389,0.002031777,0.002152584,0.01535458,0.006418033
0.012463177,0.01285259,0.002714131,-0.005784099,-0.014729611,0.008905834,0.004820599
-0.000143848,0.000168932,0.004553124,0.004045197,0.003711187,-0.002417685,0.00485155
0.015268876,0.016346824,0.007746065,0.011794459,0.004248531,0.023093235,0.011069149
0.000783374,0.002280926,-0.00167437,0.00136052,0.018686415,-0.00074214,-0.00071333
-0.001139117,0.003425184,0.004383107,0.011545989,0.001738671,0.012185822,0.00353491
-0.014552423,-0.022205033,0.002088102,0.000337736,0.001363444,-0.002494255,-0.000364488
0.002578034,0.005708839,0.001228147,-0.002130727,-0.001574984,0.000107262,0.000826575
0.009384677,0.013725696,0.013648149,-0.002779457,0.012798829,-0.011244745,0.015095292
7.51E-05,-0.002135577,0.000688833,-0.005736494,0.000294911,0.006677488,-0.002567373
-0.013487878,-0.021953769,0.004729053,0.016936789,0.001148251,-0.020079148,0.002085945
-0.01904465,-0.021978087,0.004254701,-0.004714319,0.01525622,0.02316037,0.004838733
-0.001451986,0.003954096,-0.002107552,-0.000496878,-0.010388687,-0.021103646,-0.002591138
-0.003846246,-0.005181289,-0.004368437,0.000900298,0.012080571,0.001582576,-0.003088461
0.001095311,0.005403332,0.02004515,-0.001645181,-0.000916471,0.018960889,0.020769494
0.013954391,0.017601438,0.000350641,-0.003714738,0.025872512,-0.008725799,0.000145893
-0.006341683,-0.011931567,0.000913269,0.019452293,0.011403006,-0.000185275,0.003811421
-0.000258903,-0.00450016,0.006843792,0.002610767,-0.003695745,0.004302993,0.007095823
0.017082501,0.021565848,-0.000136093,-0.001907537,0.014426802,-0.016685508,-0.003648103
0.030806963,0.037885426,-0.002869479,0.015034108,0.016676826,-0.000545898,0.002025533
0.024596213,0.02702378,0.007287098,-0.003510378,-0.003971456,0.005342723,0.007217618
0.012203717,0.011022126,-0.014923673,-0.004171273,-0.012207149,-0.002714063,-0.016004698
0.006998034,0.018395256,0.011713124,0.00684091,0.012463876,-0.00253268,0.010469066
0.006366512,-0.00758923,0.003468959,-0.00674974,-0.008758678,0.001028543,0.001772366
0.031288552,0.020401044,-0.001257679,0.004380379,0.003939337,-0.002239635,0.002386454
-0.005376982,-0.009146792,0.002824647,0.005037101,-0.005594602,-0.017619561,0.002144637
0.015654298,0.025054758,0.000484474,-0.00286802,0.004682115,-0.00520016,1.69E-05
0.000698658,0.012246338,-0.003873391,0.001846286,-0.001129387,0.000574402,-0.002694156
-0.006820253,-0.001409369,-0.001108802,-0.007798086,-0.018674865,0.021470945,0.001124151
-0.002849676,0.008616081,0.000408412,-0.010795185,0.001995885,0.028151792,-0.000439367
0.025348236,0.03778154,0.000551182,0.005628813,-0.004946975,0.011047222,0.00094609
-0.003241776,-0.000308329,0.005745458,-0.000480928,0.023814123,-0.003956271,0.007729385
-0.014737148,-0.020440019,0.002357632,0.003423113,0.000780993,0.013934149,0.003671294
-0.001492247,-0.000531357,0.019401076,0.010969325,0.019795239,0.003142399,0.019099224
-0.004603273,-0.005802511,0.00080773,-0.001470486,0.016062695,-0.013953879,0.003915147
0.024926799,0.027779065,-0.00325939,0.019604891,0.013810099,0.010505244,-0.00212323
-0.002815663,-0.007105703,-0.005281816,0.002140033,0.003513162,-0.003099172,-0.008084915
-0.004754781,-0.018770218,0.000906457,-0.004330809,-0.010217307,0.001485051,0.004366586
0.018291346,0.015046138,-0.006531785,0.004303576,-0.008534286,0.020375691,-0.004251214
0.013692304,0.010071771,-0.008054972,-0.00996405,0.008117374,0.000874425,-0.011878701
0.009545297,0.00536953,0.000838597,-0.000294012,-0.019530133,0.009216664,-0.00121821
-0.007788411,-0.006759011,-0.016060298,-0.003162221,-0.008099566,-0.008446685,-0.016338128
-0.006285743,-0.000627791,-0.001417978,0.004052589,-0.0140052,0.004937884,0.00021214
0.010342574,-0.001514533,0.0156251,-0.024085022,-0.02040513,-0.003996164,0.015240604
-0.052940541,-0.072606308,0.001994213,0.001874375,0.01805442,0.008572097,0.002537119
0.009659653,0.006387738,-0.002231245,0.013288426,-0.001341148,-0.018836196,-0.001576597
-0.040579605,-0.047226627,-0.012803265,-0.006239185,-0.003466605,0.005120189,-0.014387044
-0.019424006,-0.024843284,0.013581236,-0.009111952,-0.027053689,0.017907295,0.014812719
0.009324597,0.019004431,-0.008553291,-0.017679208,0.005562732,0.000963295,-0.007496632
0.008034081,0.01224989,-0.003568386,0.013493253,0.001337716,-0.001090165,-0.001379798
-0.001453333,0.000625706,-0.004213346,0.007367045,-0.007725819,-0.00257333,-0.006088749
-0.019637392,-0.01979351,0.022439379,-0.005318623,0.012552216,0.008955842,0.021386708
0.011129787,0.028219698,0.009428764,-0.02099073,-0.006853636,0.005219765,0.012737032
0.013311655,0.015707268,0.001730529,-0.004094157,0.010454983,-0.007213478,0.00259991
-0.00920741,-0.005175985,-0.001749891,0.020452302,0.008521938,0.007991912,-0.00129911
-0.001861956,-0.000196446,-0.00026671,0.021921884,-0.005484808,0.002220211,0.000514944
-0.016240469,-0.016103295,0.001171935,-0.003863504,-0.00355813,-0.000677767,0.003694902
