date,1398 HK Equity,700 HK Equity,16 HK Equity,857 HK Equity,1 HK Equity,1928 HK Equity,3 HK Equity,2018 HK Equity,914 HK Equity,1099 HK Equity,2319 HK Equity
2024/2/17,5.14,211.2,114.4,6.11,94.5,32.15,12.38,82.8,26.8,36.1,15.14
2024/3/14,4.56,117.4,91.65,8.29,70.907,60.6,10.096,32.65,30.65,20.7,18.475
2024/3/15,5.58,143,118.5,8.17,87.209,32.05,12.076,53.7,27.65,29.5,17.675
2024/3/16,4.23,158.8,93.1,5.14,100.3,30.1,10.594,57.1,19.08,30.95,10.92
2024/3/17,5.16,225.2,114.3,5.78,97.8,35.05,12.727,98,27.7,37.55,15.26
2024/4/13,5.28,50.88,113.7,9.56,68.027,40.55,13.124,35.9,28.35,23.95,11
2024/4/14,4.71,106.5,97.5,8.83,78.511,63.45,10.978,42.9,30.25,20.5,20.975
2024/4/15,6.78,161.6,125.7,9.97,96.77,32.65,12.745,46.35,33.25,38.05,21.45
2024/4/17,4.99,238,115,5.51,95.05,35.45,12.694,106.2,27.5,35.4,15.1
2024/5/13,5.39,59.88,108.6,9.45,65.032,39.95,13.096,43.7,26.6,22,13.225
2024/5/16,3.9,160.5,86.45,5.13,88.75,27.9,10.879,60,18.28,35.95,12.22
2024/5/17,5.11,273.6,114.1,5.32,101.7,34.5,13.207,82.6,25.45,35,15.88
2024/6/13,4.48,55.72,95.5,7.91,57.947,35.35,11.437,38.5,20.45,18.6,13.4
2024/6/14,4.84,114.9,105.5,9.62,77.359,54.85,11.393,50.75,27.75,20.7,17.2
2024/6/15,6.72,163.7,129.3,9.1,117.8,28.6,12.156,46.5,30.15,36.8,19.675
2024/6/16,4.31,173.8,88.55,5.18,87,26,11.091,66.1,17.64,34.8,12.82
2024/7/13,5.14,66.16,104.3,9.26,63.707,42.8,12.294,35.55,22.9,19.9,15.525
2024/7/14,5.19,124.5,107.9,10.9,80.815,57,11.543,48.45,30,23.8,18.925
