date,1398 HK Equity,700 HK Equity,16 HK Equity,857 HK Equity,1 HK Equity,1928 HK Equity,3 HK Equity,2018 HK Equity,914 HK Equity,1099 HK Equity,2319 HK Equity
2015-02-17,5.1,206.6,109.1,6.1,93.1,32.9,12.331,88.35,26.95,36.8,15.02
2015-03-13,5.41,54.84,106.2,10.58,65.09,35.55,12.588,30.95,25.3,25.95,10.825
2015-03-16,4.21,151.3,94.55,5.31,98.9,29.15,10.562999999999999,53.2,18.64,30.7,10.84
2015-03-17,5.06,214.6,112.0,5.66,96.9,34.5,12.38,83.5,27.95,36.0,15.34
2015-04-13,5.17,49.2,107.0,9.67,65.954,38.55,12.757,38.75,26.7,25.35,11.475
2015-04-14,4.79,103.2,100.4,8.68,78.453,61.3,11.052,41.8,30.35,20.15,20.25
2015-04-15,6.91,157.6,126.0,10.1,95.618,33.6,12.895,52.8,31.55,36.6,20.475
2015-04-16,4.35,165.3,97.6,5.33,99.3,30.35,11.195,58.55,21.95,35.75,13.56
2015-05-13,5.55,54.88,109.7,10.02,66.587,40.45,13.124,43.4,27.35,23.15,12.175
2015-05-14,4.82,108.8,102.1,9.21,77.186,57.0,11.239,43.0,29.15,20.35,19.425
2015-05-15,6.61,162.3,132.1,9.55,97.05799999999999,32.55,12.8,44.0,31.5,37.45,20.725
2015-05-17,5.15,259.0,116.0,5.32,102.5,34.65,12.81,91.75,25.8,34.45,15.08
2015-06-15,6.52,155.2,126.3,8.83,112.1,29.1,11.886,40.35,31.65,37.2,20.4
2015-06-16,4.11,173.0,89.5,5.3,88.6,26.35,11.157,64.85,17.4,36.05,13.34
2015-06-17,5.13,273.0,118.7,4.96,98.75,36.9,13.164000000000001,96.95,26.0,34.7,15.22
2015-07-13,4.91,64.28,102.6,9.18,61.461000000000006,39.1,12.046,38.8,22.6,18.68,14.65
2015-07-14,5.0,123.8,105.8,10.08,80.124,57.25,11.543,48.85,28.9,23.25,18.55
2015-07-15,5.66,150.0,122.7,8.01,112.2,31.7,11.975999999999999,42.0,25.15,31.85,18.875
2015-07-16,4.34,184.8,105.7,5.47,87.05,26.85,11.702,67.85,20.05,38.4,13.5
2015-08-13,5.29,73.6,105.5,9.28,65.954,44.6,12.574000000000002,38.9,26.6,20.6,15.5
2015-08-14,5.26,130.3,116.8,10.74,83.234,53.25,11.884,46.6,29.3,23.75,19.3
2015-08-16,4.87,191.1,110.3,5.34,97.8,31.8,12.132,78.85,22.3,41.1,13.54
2015-08-17,5.55,318.8,122.0,4.86,102.0,34.75,13.491,115.8,27.9,32.7,15.7
