作者1,作者2,合作次数,1-2单向引用次数,2-1单向引用次数,互引次数
Doudna JA,Norville JE,0,23,0,0
Doudna JA,Kim JS,0,22,1,1
Doudna JA,Sander JD,0,50,0,0
Doudna JA,Gootenberg JS,0,19,2,2
Doudna JA,Zhang Y,0,22,6,6
Doudna JA,DiCarlo JE,0,23,0,0
Doudna JA,Reyon D,0,26,0,0
Doudna JA,Romero DA,0,25,5,5
Doudna JA,Boyaval P,0,19,4,4
Doudna JA,Gersbach CA,1,26,0,0
Doudna JA,Fu YF,0,44,0,0
Doudna JA,Hauer M,2,44,1,1
Doudna JA,Fonfara I,1,11,2,2
Doudna JA,Lander ES,0,23,2,2
Doudna JA,Tsai SQ,0,50,1,1
Doudna JA,Maeder ML,0,53,0,0
Doudna JA,Guell M,0,25,0,0
Doudna JA,Jaenisch R,0,26,0,0
Doudna JA,Agarwala V,0,25,0,0
Doudna JA,Westra ER,2,19,16,16
Doudna JA,Wiedenheft B,11,8,9,8
Doudna JA,Wolf YI,0,17,8,8
Doudna JA,Deveau H,0,50,2,2
Doudna JA,Cheng AW,0,53,0,0
Doudna JA,Wang HY,0,44,0,0
Doudna JA,Mojica FJM,0,42,9,9
Doudna JA,Sanjana NE,0,7,0,0
Doudna JA,Lim WA,3,8,1,1
Doudna JA,Yang H,0,49,3,3
Doudna JA,Jore MM,3,5,6,5
Doudna JA,Sternberg SH,18,18,2,2
Doudna JA,Lin S,5,8,0,0
Doudna JA,Shivalila CS,0,47,0,0
Doudna JA,Zetsche B,0,51,2,2
Doudna JA,Terns MP,0,36,15,15
Doudna JA,Terns RM,0,7,14,7
Doudna JA,Sharp PA,0,23,0,0
Doudna JA,Bao G,0,50,1,1
Doudna JA,Larson MH,2,50,1,1
Doudna JA,Kim S,0,14,0,0
Doudna JA,Trevino AE,0,17,0,0
Doudna JA,Richards M,0,17,0,0
Doudna JA,Cradick TJ,0,15,1,1
Doudna JA,Root DE,0,11,0,0
Doudna JA,Abudayyeh OO,0,41,1,1
Doudna JA,Sontheimer EJ,1,17,9,9
Doudna JA,Vergnaud G,0,7,1,1
Doudna JA,Khayter C,0,20,0,0
Doudna JA,Doench JG,0,38,0,0
Doudna JA,Pourcel C,0,9,1,1
Doudna JA,Severinov K,0,19,14,14
Doudna JA,Li YQ,0,6,1,1
Doudna JA,Haft DH,0,9,2,2
Doudna JA,Cho SW,0,37,0,0
Doudna JA,Wright J,0,22,0,0
Doudna JA,Huang XX,0,37,0,0
Doudna JA,Joung J,0,15,0,0
Doudna JA,Yan WX,0,2,1,1
Doudna JA,Regev A,0,5,0,0
Doudna JA,Fine EJ,0,19,0,0
Doudna JA,Liu DR,1,18,1,1
Doudna JA,Siksnys V,0,15,11,11
Doudna JA,Yeh JRJ,0,16,1,1
Doudna JA,Peterson RT,0,21,1,1
Doudna JA,Ebert BL,0,38,0,0
Doudna JA,Yakunin AF,0,13,5,5
Doudna JA,Shen B,0,13,0,0
Doudna JA,Whitehead EH,1,6,0,0
Doudna JA,Zhou KH,11,35,2,2
Doudna JA,Lundgren M,2,5,4,4
Doudna JA,Gao CX,0,14,0,0
Doudna JA,Semenova E,0,56,11,11
Doudna JA,Ma EB,5,40,0,0
Doudna JA,Wang T,0,3,0,0
Doudna JA,Bikard D,1,35,9,9
Doudna JA,Gasiunas G,0,34,9,9
Doudna JA,Hartenian E,0,6,0,0
Doudna JA,Garrett RA,0,24,12,12
Doudna JA,Nguyen NT,0,38,1,1
Doudna JA,Li W,0,6,2,2
Doudna JA,Zhang J,0,23,2,2
Doudna JA,Thakore PI,0,15,0,0
Doudna JA,Foden JA,0,6,0,0
Doudna JA,Garneau JE,0,13,2,2
Doudna JA,Sabatini DM,0,5,0,0
Doudna JA,Sorek R,0,17,3,3
Doudna JA,Slaymaker IM,0,30,0,0
Doudna JA,Dawlaty MM,0,5,0,0
Doudna JA,Anderson DG,0,24,0,0
