ELEMENT,PT FOOT-NOTE,COORD1,COORD2,COORD3
78,5,-38.94,6.056,0.7891
78,6,-38.94,6.057,0.2114
78,7,-36.06,6.056,0.7895
78,8,-36.06,6.057,0.2115
79,1,-33.94,8.943,2.792
79,2,-33.94,8.943,2.214
79,3,-31.06,8.943,2.793
79,4,-31.06,8.943,2.215
79,5,-33.94,6.056,2.792
79,6,-33.94,6.056,2.214
79,7,-31.06,6.056,2.793
79,8,-31.06,6.056,2.215
80,1,-33.94,8.943,1.791
80,2,-33.94,8.943,1.213
80,3,-31.06,8.943,1.792
80,4,-31.06,8.943,1.213
80,5,-33.94,6.056,1.791
80,6,-33.94,6.056,1.213
80,7,-31.06,6.056,1.792
80,8,-31.06,6.056,1.213
81,1,-33.94,8.943,0.7897
81,2,-33.94,8.943,0.2116
81,3,-31.06,8.943,0.79
81,4,-31.06,8.943,0.2117
81,5,-33.94,6.056,0.7896
81,6,-33.94,6.057,0.2116
81,7,-31.06,6.056,0.7899
81,8,-31.06,6.057,0.2117
82,1,-28.95,8.943,2.794
82,2,-28.94,8.943,2.216
82,3,-26.06,8.943,2.795
82,4,-26.06,8.943,2.217
82,5,-28.95,6.055,2.794
82,6,-28.94,6.056,2.216
82,7,-26.06,6.055,2.795
82,8,-26.06,6.055,2.217
83,1,-28.94,8.943,1.792
83,2,-28.94,8.943,1.214
83,3,-26.06,8.943,1.793
83,4,-26.06,8.943,1.214
83,5,-28.94,6.056,1.792
83,6,-28.94,6.056,1.214
83,7,-26.06,6.055,1.793
83,8,-26.06,6.056,1.214
84,1,-28.94,8.943,0.7902
84,2,-28.94,8.943,0.2117
84,3,-26.06,8.943,0.7907
84,4,-26.06,8.943,0.2119
84,5,-28.94,6.056,0.7901
84,6,-28.94,6.056,0.2117
84,7,-26.06,6.056,0.7905
84,8,-26.06,6.056,0.2118
85,1,-23.95,8.943,2.797
85,2,-23.95,8.943,2.218
85,3,-21.06,8.942,2.798
85,4,-21.06,8.942,2.219
85,5,-23.95,6.055,2.796
85,6,-23.94,6.055,2.217
85,7,-21.06,6.055,2.798
85,8,-21.06,6.055,2.219
86,1,-23.94,8.943,1.794
86,2,-23.94,8.943,1.215
86,3,-21.06,8.943,1.795
86,4,-21.06,8.943,1.216
86,5,-23.94,6.055,1.794
86,6,-23.94,6.056,1.215
86,7,-21.06,6.055,1.795
86,8,-21.06,6.055,1.215
87,1,-23.94,8.943,0.791
87,2,-23.94,8.943,0.212
87,3,-21.06,8.943,0.7916
87,4,-21.06,8.943,0.2121
87,5,-23.94,6.056,0.7908
87,6,-23.94,6.056,0.2119
87,7,-21.06,6.056,0.7913
87,8,-21.06,6.056,0.212
88,1,-18.94,8.942,2.8
